url	imdb_url
/wiki/Genocide_(film)	tt0082443
/wiki/Gentleman%27s_Agreement	tt0039416
/wiki/Gerald_McBoing-Boing	tt0043581
/wiki/Geri%27s_Game	tt0131409
/wiki/Get_Out_Your_Handkerchiefs	tt0078122
/wiki/Ghost_(1990_film)	tt0099653
/wiki/The_Ghost_and_the_Darkness	tt0116409
/wiki/Giant_(1956_film)	tt0049261
/wiki/Gigi_(1958_film)	tt0051658
/wiki/Girl,_Interrupted_(film)	tt0172493
/wiki/The_Girl_with_the_Dragon_Tattoo_(2011_film)	tt1568346
/wiki/Giuseppina	tt0053866
/wiki/Give_Me_Liberty_(1936_film)	tt0027678
/wiki/Gladiator_(2000_film)	tt0172495
/wiki/Glass_(film)	tt0052852
/wiki/The_Glenn_Miller_Story	tt0047030
/wiki/Glory_(1989_film)	tt0097441
/wiki/The_Godfather	tt0068646
/wiki/The_Godfather_Part_II	tt0071562
/wiki/God_of_Love_(film)	tt1631323
/wiki/Gods_and_Monsters	tt0120684
/wiki/Going_My_Way	tt0036872
/wiki/Gold_Diggers_of_1935	tt0026421
/wiki/The_Golden_Compass_(film)	tt0385752
/wiki/The_Golden_Fish_(film)	tt0052855
/wiki/Goldfinger_(film)	tt0058150
/wiki/Gone_with_the_Wind_(film)	tt0031381
/wiki/The_Good_Earth	tt0028944
/wiki/Good_Will_Hunting	tt0119217
/wiki/The_Goodbye_Girl	tt0076095
/wiki/Goodbye,_Miss_Turlock	tt0039432
/wiki/Goodbye,_Mr._Chips_(1939_film)	tt0031385
/wiki/Goodfellas	tt0099685
/wiki/Gosford_Park	tt0280707
/wiki/The_Graduate	tt0061722
/wiki/Grand_Canyon_(1958_film)	tt0051677
/wiki/Grand_Hotel_(film)	tt0022958
/wiki/Grand_Prix_(1966_film)	tt0060472
/wiki/Grandad_of_Races	tt0042518
/wiki/The_Grapes_of_Wrath_(film)	tt0032551
/wiki/Gravity_Is_My_Enemy	tt0076105
/wiki/Great_(1975_film)	tt0073068
/wiki/The_Great_American_Cowboy	tt0070135
/wiki/The_Great_Caruso	tt0043599
/wiki/Great_Expectations_(1946_film)	tt0038574
/wiki/The_Great_Gatsby_(1974_film)	tt0071577
/wiki/The_Great_Lie	tt0033677
/wiki/The_Great_McGinty	tt0032554
/wiki/The_Great_Race	tt0059243
/wiki/The_Great_Waltz	tt0030202
/wiki/The_Great_Ziegfeld	tt0027698
/wiki/The_Greatest_Show_on_Earth	tt0044672
/wiki/Green_Dolphin_Street	tt0039437
/wiki/Guess_Who%27s_Coming_to_Dinner	tt0061735
/wiki/The_Guns_of_Navarone_(film)	tt0054953
/wiki/Hamlet_(1948_film)	tt0040416
/wiki/Hannah_and_Her_Sisters	tt0091167
/wiki/Happy_Feet	tt0366548
/wiki/Harlan_County,_USA	tt0074605
/wiki/Harry_and_the_Hendersons	tt0093148
/wiki/Harry_and_Tonto	tt0071598
/wiki/Harvey_(film)	tt0042546
/wiki/The_Harvey_Girls_(film)	tt0038589
/wiki/Harvie_Krumpet	tt0382734
/wiki/He_Makes_Me_Feel_Like_Dancin%27	tt0085655
/wiki/Hearts_and_Minds_(film)	tt0071604
/wiki/Heaven_Can_Wait_(1978_film)	tt0077663
/wiki/Heavenly_Music	tt0035981
/wiki/The_Heiress	tt0041452
/wiki/Helen_Keller_in_Her_Story	tt0048157
/wiki/Hello,_Dolly!_(film)	tt0064418
/wiki/Hello,_Frisco,_Hello	tt0035982
/wiki/The_Hellstrom_Chronicle	tt0067197
/wiki/The_Help_(film)	tt1454029
/wiki/Henry_V_(1989_film)	tt0097499
/wiki/Here_Comes_Mr._Jordan	tt0033712
/wiki/Here_Comes_the_Groom	tt0043633
/wiki/Heureux_Anniversaire	tt0056066
/wiki/The_High_and_the_Mighty_(film)	tt0047086
/wiki/High_Noon	tt0044706
/wiki/The_Hindenburg_(film)	tt0073113
/wiki/Hitler_Lives	tt0037783
/wiki/The_Hole_(1962_film)	tt0056075
/wiki/A_Hole_in_the_Head	tt0052896
/wiki/Holiday_Inn_(film)	tt0034862
/wiki/The_Horse_with_the_Flying_Tail	tt0054993
/wiki/The_Hospital	tt0067217
/wiki/Hotel_Terminus:_The_Life_and_Times_of_Klaus_Barbie	tt0095341
/wiki/The_Hours_(film)	tt0274558
/wiki/The_House_on_92nd_Street	tt0037795
/wiki/How_Green_Was_My_Valley_(film)	tt0033729
/wiki/How_the_West_Was_Won_(film)	tt0056085
/wiki/How_to_Sleep	tt0026497
/wiki/Howards_End_(film)	tt0104454
/wiki/Hud_(film)	tt0057163
/wiki/Hugo_(film)	tt0970179
/wiki/The_Human_Comedy_(film)	tt0036022
/wiki/The_Hunt_for_Red_October_(film)	tt0099810
/wiki/The_Hurricane_(1937_film)	tt0029030
/wiki/The_Hurt_Locker	tt0887912
/wiki/Hustle_%26_Flow	tt0410097
/wiki/The_Hustler_(film)	tt0054997
/wiki/I_Am_a_Promise:_The_Children_of_Stanton_Elementary_School	tt0107177
/wiki/I_Want_to_Live!	tt0051758
/wiki/I_Wanted_Wings	tt0033741
/wiki/I_Won%27t_Play	tt0036939
/wiki/If_You_Love_This_Planet	tt0084118
/wiki/Il_Postino	tt0110877
/wiki/I%27ll_Cry_Tomorrow	tt0048191
/wiki/I%27ll_Find_a_Way	tt0076173
/wiki/In_Beaver_Valley	tt0042592
/wiki/In_Old_Arizona	tt0020018
/wiki/In_Old_Chicago	tt0029047
/wiki/In_the_Heat_of_the_Night_(film)	tt0061811
/wiki/In_the_Region_of_Ice	tt0074675
/wiki/In_the_Shadow_of_the_Stars	tt0102114
/wiki/Inception	tt1375666
/wiki/An_Inconvenient_Truth	tt0497116
/wiki/The_Incredibles	tt0317705
/wiki/Independence_Day_(film)	tt0116629
/wiki/Indiana_Jones_and_the_Last_Crusade	tt0097576
/wiki/Indiana_Jones_and_the_Temple_of_Doom	tt0087469
/wiki/Indochine_(film)	tt0104507
/wiki/The_Informer_(1935_film)	tt0026529
/wiki/Inglourious_Basterds	tt0361748
/wiki/Innerspace	tt0093260
/wiki/Inside_Job_(film)	tt1645089
/wiki/Interrupted_Melody	tt0048210
/wiki/Interviews_with_My_Lai_Veterans	tt0065894
/wiki/Into_the_Arms_of_Strangers:_Stories_of_the_Kindertransport	tt0248912
/wiki/49th_Parallel_(film)	tt0033627
/wiki/Investigation_of_a_Citizen_Above_Suspicion	tt0065889
/wiki/Iris_(film)	tt0280778
/wiki/Irma_la_Douce	tt0057187
/wiki/The_Iron_Lady_(film)	tt1007029
/wiki/It_Happened_One_Night	tt0025316
/wiki/It%27s_a_Mad_Mad_Mad_Mad_World	tt0057193
/wiki/It%27s_Tough_to_Be_a_Bird	tt0064504
/wiki/Jacques-Yves_Cousteau%27s_World_Without_Sun	tt0058364
/wiki/Jaws_(film)	tt0073195
/wiki/Jerry_Maguire	tt0116695
/wiki/Jezebel_(film)	tt0030287
/wiki/JFK_(film)	tt0102138
/wiki/Joan_of_Arc_(1948_film)	tt0040491
/wiki/Johann_Mouse	tt0045937
/wiki/Johnny_Belinda_(1948_film)	tt0040495
/wiki/Johnny_Eager	tt0033774
/wiki/The_Johnstown_Flood_(1989_film)	tt0097628
/wiki/The_Joker_Is_Wild	tt0050569
/wiki/The_Jolson_Story	tt0038661
/wiki/Journey_Into_Self	tt0063160
/wiki/Journey_of_Hope_(film)	tt0100470
/wiki/Judgment_at_Nuremberg	tt0055031
/wiki/Julia_(1977_film)	tt0076245
/wiki/Julius_Caesar_(1953_film)	tt0045943
/wiki/Juno_(film)	tt0467406
/wiki/Jurassic_Park_(film)	tt0107290
/wiki/Just_Another_Missing_Kid	tt0084185
/wiki/Karl_Hess:_Toward_Liberty	tt0080987
/wiki/Kentucky_(film)	tt0030317
/wiki/Key_Largo_(film)	tt0040506
/wiki/The_Killing_Fields_(film)	tt0087553
/wiki/The_King_and_I_(1956_film)	tt0049408
/wiki/King_Gimp	tt0239528
/wiki/King_Kong_(1976_film)	tt0074751
/wiki/King_Kong_(2005_film)	tt0360717
/wiki/King_of_Jazz	tt0021025
/wiki/King_Solomon%27s_Mines_(1950_film)	tt0042646
/wiki/The_King%27s_Speech_(film)	tt1504320
/wiki/Kiss_of_the_Spider_Woman_(film)	tt0089424
/wiki/Kitty_Foyle_(film)	tt0032671
/wiki/Klute	tt0067309
/wiki/Knighty_Knight_Bugs	tt0051825
/wiki/Kolya	tt0116790
/wiki/Kon-Tiki_(1950_film)	tt0042650
/wiki/Krakatoa_(film)	tt0024231
/wiki/Kramer_vs._Kramer	tt0079417
/wiki/L.A._Confidential_(film)	tt0119488
/wiki/La_Cucaracha_(1934_film)	tt0025019
/wiki/La_Dolce_Vita	tt0053779
/wiki/La_Vie_en_rose_(film)	tt0450188
/wiki/Lady_Be_Good_(1941_film)	tt0033803
/wiki/The_Last_Command_(1928_film)	tt0019071
/wiki/The_Last_Days	tt0174852
/wiki/The_Last_Emperor	tt0093389
