url	imdb_url	Title	Year
/wiki/Casals_Conducts:_1964	tt0057922	Casals Conducts: 1964	1964
/wiki/Cat_Ballou	tt0059017	Cat Ballou	1965
/wiki/The_Cat_Concerto	tt0039251	The Cat Concerto	1947
/wiki/Cavalcade_(1933_film)	tt0023876	Cavalcade	1933
/wiki/Chagall_(film)	tt0056920	Chagall	1963
/wiki/The_Champ	tt0021730	The Champ	1931
/wiki/Champion_(1949_film)	tt0041239	Champion	1949
/wiki/A_Chance_to_Live	tt0041240	A Chance to Live	1949
/wiki/Character_(1997_film)	tt0119448	Character	1997
/wiki/Charade_(1984_film)	tt0087040	Charade	1984
/wiki/The_Charge_of_the_Light_Brigade_(1936_film)	tt0027438	The Charge of the Light Brigade	1936
/wiki/Chariots_of_Fire	tt0082158	Chariots of Fire	1981
/wiki/Charly	tt0062794	Charly	1968
/wiki/Chernobyl_Heart	tt0396959	Chernobyl Heart	2003
/wiki/Chicago_(2002_film)	tt0299658	Chicago	2002
/wiki/The_Chicken_(film)	tt0059613	Le poulet	1965
/wiki/Children_of_a_Lesser_God	tt0090830	Children of a Lesser God	1986
/wiki/Chinatown_(1974_film)	tt0071315	Chinatown	1974
/wiki/A_Christmas_Carol_(1971_film)	tt0068373	A Christmas Carol	1971
/wiki/The_Chronicles_of_Narnia:_The_Lion,_the_Witch_and_the_Wardrobe	tt0363771	The Chronicles of Narnia: The Lion, the Witch and the Wardrobe	2005
/wiki/The_Chubbchubbs!	tt0331218	The Chubbchubbs!	2002
/wiki/Churchill%27s_Island	tt0033466	Churchill's Island	1941
/wiki/The_Cider_House_Rules_(film)	tt0124315	The Cider House Rules	1999
/wiki/Cimarron_(1931_film)	tt0021746	Cimarron	1931
/wiki/Cinema_Paradiso	tt0095765	Cinema Paradiso	1988
/wiki/Citizen_Kane	tt0033467	Citizen Kane	1941
/wiki/City_of_Wax	tt0024986	City of Wax	1934
/wiki/City_Slickers	tt0101587	City Slickers	1991
/wiki/Cleopatra_(1934_film)	tt0024991	Cleopatra	1934
/wiki/Cleopatra_(1963_film)	tt0056937	Cleopatra	1963
/wiki/Climbing_the_Matterhorn	tt0039267	Climbing the Matterhorn	1947
/wiki/Close_Encounters_of_the_Third_Kind	tt0075860	Close Encounters of the Third Kind	1977
/wiki/Close_Harmony_(1981_film)	tt0082187	Close Harmony	1981
/wiki/A_Close_Shave	tt0112691	A Close Shave	1995
/wiki/Closed_Mondays	tt0071337	Closed Mondays	1974
/wiki/Closely_Watched_Trains	tt0060802	Closely Watched Trains	1966
/wiki/Coal_Miner%27s_Daughter	tt0080549	Coal Miner's Daughter	1980
